recordingRef,candidate,totalBytes,payloadBytes,manifestBytes,headerBytes,chunkCount
r1,original,92362259,92362259,0,0,8
r2,original,70669885,70669885,0,0,8
r3,original,107965745,107965745,0,0,6
r4,original,160668363,160668363,0,0,8
r1,published,92722644,92685354,37162,128,35
r2,published,71722085,71705397,16560,128,25
r3,published,108642019,108631288,10635,96,29
r4,published,161225008,161211021,13859,128,48
r1,ffmpeg5-30s,92722644,92685354,37162,128,35
r2,ffmpeg5-30s,71722085,71705397,16560,128,25
r3,ffmpeg5-30s,108642019,108631288,10635,96,29
r4,ffmpeg5-30s,161225008,161211021,13859,128,48
r1,ffmpeg8-30s,92248654,92211364,37162,128,35
r2,ffmpeg8-30s,70677863,70661175,16560,128,25
r3,ffmpeg8-30s,107967355,107956624,10635,96,29
r4,ffmpeg8-30s,160695183,160681196,13859,128,48
r1,flac5-30s,91604644,91567355,37161,128,35
r2,flac5-30s,70214293,70197605,16560,128,25
r3,flac5-30s,108201058,108190327,10635,96,29
r4,flac5-30s,160877051,160863064,13859,128,48
r1,flac8-30s,90693875,90656586,37161,128,35
r2,flac8-30s,68415953,68399265,16560,128,25
r3,flac8-30s,106787621,106776890,10635,96,29
r4,flac8-30s,159871607,159857620,13859,128,48
r1,flac8e-30s,90604822,90567533,37161,128,35
r2,flac8e-30s,68302183,68285495,16560,128,25
r3,flac8e-30s,106716345,106705614,10635,96,29
r4,flac8e-30s,159792315,159778328,13859,128,48
r1,flac8e-60s,90599798,90566308,33362,128,19
r2,flac8e-60s,68299965,68286127,13710,128,13
r3,flac8e-60s,106713193,106705793,7304,96,15
r4,flac8e-60s,159787629,159778650,8851,128,27
r1,flac8e-concat,90598020,90567144,30748,128,8
r2,flac8e-concat,68298834,68286182,12524,128,8
r3,flac8e-concat,106710412,106705154,5162,96,6
r4,flac8e-concat,159782788,159778330,4330,128,8
r1,flac8e-dense,90828974,90798010,30836,128,8
r2,flac8e-dense,68511848,68499108,12612,128,8
r3,flac8e-dense,106767629,106762305,5228,96,6
r4,flac8e-dense,159836838,159832292,4418,128,8
r1,wavpack-concat,95838932,95807968,30836,128,8
r2,wavpack-concat,72671676,72658936,12612,128,8
r3,wavpack-concat,111327997,111322672,5229,96,6
r4,wavpack-concat,162868642,162864096,4418,128,8
r1,wavpackx6-concat,91109902,91078938,30836,128,8
r2,wavpackx6-concat,69786658,69773918,12612,128,8
r3,wavpackx6-concat,107080614,107075290,5228,96,6
r4,wavpackx6-concat,159886982,159882436,4418,128,8
r1,wavpackhh-concat,94819822,94788858,30836,128,8
r2,wavpackhh-concat,71046168,71033428,12612,128,8
r3,wavpackhh-concat,109990277,109984952,5229,96,6
r4,wavpackhh-concat,161044824,161040278,4418,128,8
r1,wavpackhhx6-concat,89993620,89962656,30836,128,8
r2,wavpackhhx6-concat,67943888,67931148,12612,128,8
r3,wavpackhhx6-concat,106002398,105997074,5228,96,6
r4,wavpackhhx6-concat,158766588,158762042,4418,128,8
