recordingRef,source,identity,candidate,totalBytes,payloadBytes,manifestBytes,headerBytes,chunkCount,canonicalPcmSha256,blobSha256,encodeSeconds,decodeSeconds,encodePeakRssKiB,decodePeakRssKiB,flacMetadataBytes
r1,drums,sha256:03328fc288eda889bb9bb7813a48bf87d3e011b1698778fc456f57c8561b9db2,original,16483526,16483526,0,0,1,03328fc288eda889bb9bb7813a48bf87d3e011b1698778fc456f57c8561b9db2,52b7efdb0d761b11759206775970406293f9ca6cf2a7b46bb7526cc34b597400,,0.19452200108207762,,2816,42
r1,drums,sha256:03328fc288eda889bb9bb7813a48bf87d3e011b1698778fc456f57c8561b9db2,published,16542989,16538208,4765,16,4,03328fc288eda889bb9bb7813a48bf87d3e011b1698778fc456f57c8561b9db2,9e12a781f0596d78f177463570203389999bd6312f1b340506a163b10b370824,,0.17474567785393447,,2816,240
r1,drums,sha256:03328fc288eda889bb9bb7813a48bf87d3e011b1698778fc456f57c8561b9db2,ffmpeg5-30s,16542989,16538208,4765,16,4,03328fc288eda889bb9bb7813a48bf87d3e011b1698778fc456f57c8561b9db2,9e12a781f0596d78f177463570203389999bd6312f1b340506a163b10b370824,0.5259352379944175,0.1729923690436408,55552,2816,240
r1,drums,sha256:03328fc288eda889bb9bb7813a48bf87d3e011b1698778fc456f57c8561b9db2,ffmpeg8-30s,16471171,16466390,4765,16,4,03328fc288eda889bb9bb7813a48bf87d3e011b1698778fc456f57c8561b9db2,e6835989f9e73b8a3afb17559a5c00eb3b65ba0976007ca27811dff25e678f63,0.8065279421862215,0.1814571670256555,55552,2816,240
r1,drums,sha256:03328fc288eda889bb9bb7813a48bf87d3e011b1698778fc456f57c8561b9db2,flac5-30s,16278628,16273847,4765,16,4,03328fc288eda889bb9bb7813a48bf87d3e011b1698778fc456f57c8561b9db2,32d58cec620b80944b229db9b6f9f02d49d6fa31461a70a2745530f24f737862,0.18988708592951298,0.16705366200767457,3328,2816,344
r1,drums,sha256:03328fc288eda889bb9bb7813a48bf87d3e011b1698778fc456f57c8561b9db2,flac8-30s,16048247,16043466,4765,16,4,03328fc288eda889bb9bb7813a48bf87d3e011b1698778fc456f57c8561b9db2,c0eac1ed6f9b59badb572b4ae8fc9ee218faa0626440dc66b958d367b4ea7843,0.4951354550430551,0.17883417289704084,3328,2816,344
r1,drums,sha256:03328fc288eda889bb9bb7813a48bf87d3e011b1698778fc456f57c8561b9db2,flac8e-30s,16024424,16019643,4765,16,4,03328fc288eda889bb9bb7813a48bf87d3e011b1698778fc456f57c8561b9db2,9e799f1720c945a8b2b74ca0276d44980d1681ee6467bc627c6fc2a6254f6d21,1.925708815921098,0.1755833018105477,3328,2816,344
r1,drums,sha256:03328fc288eda889bb9bb7813a48bf87d3e011b1698778fc456f57c8561b9db2,flac8e-60s,16023233,16018929,4288,16,2,03328fc288eda889bb9bb7813a48bf87d3e011b1698778fc456f57c8561b9db2,40dfa5e8e7ff644315cf141fc0f9805485e171fdbdc247032b804d6b99aa3679,1.927851032000035,0.17087025789078325,3328,2816,172
r1,drums,sha256:03328fc288eda889bb9bb7813a48bf87d3e011b1698778fc456f57c8561b9db2,flac8e-concat,16023212,16019145,4051,16,1,03328fc288eda889bb9bb7813a48bf87d3e011b1698778fc456f57c8561b9db2,ba00d7448cf22328e5275b39017bab7f08fbd49f7460e67d0d82e02121288b20,1.9164769139606506,0.16927138401661068,3328,2816,86
r1,drums,sha256:03328fc288eda889bb9bb7813a48bf87d3e011b1698778fc456f57c8561b9db2,flac8e-dense,16055915,16051837,4062,16,1,03328fc288eda889bb9bb7813a48bf87d3e011b1698778fc456f57c8561b9db2,4c3edea7115cbc9986fb52bca9f337a06cae9fce0ba87567afdda6e6187e25bc,1.9702410449972376,0.1906177659984678,3328,2816,86
r1,drums,sha256:03328fc288eda889bb9bb7813a48bf87d3e011b1698778fc456f57c8561b9db2,wavpack-concat,16286914,16282836,4062,16,1,03328fc288eda889bb9bb7813a48bf87d3e011b1698778fc456f57c8561b9db2,9a2c26b76252555708f07038dbc21dc788eca79baa86bc7f7ae7379ec8ad2922,0.28541853197384626,0.2599968910217285,3328,1792,
r1,drums,sha256:03328fc288eda889bb9bb7813a48bf87d3e011b1698778fc456f57c8561b9db2,wavpackx6-concat,16098284,16094206,4062,16,1,03328fc288eda889bb9bb7813a48bf87d3e011b1698778fc456f57c8561b9db2,b101a50f655e52aa9c55067fe5f30b2c33ad1ba5585b06166c2edc1ac8bfeecd,14.388938977965154,0.2600234589772299,4176,1536,
r1,drums,sha256:03328fc288eda889bb9bb7813a48bf87d3e011b1698778fc456f57c8561b9db2,wavpackhh-concat,16055904,16051826,4062,16,1,03328fc288eda889bb9bb7813a48bf87d3e011b1698778fc456f57c8561b9db2,e333a8e65e60c69050f9f8d49b980d3407ffff5270ccb1ee2dbe201e305fcdcf,0.48794445605017245,0.40134158998262137,3840,1792,
r1,drums,sha256:03328fc288eda889bb9bb7813a48bf87d3e011b1698778fc456f57c8561b9db2,wavpackhhx6-concat,15878616,15874538,4062,16,1,03328fc288eda889bb9bb7813a48bf87d3e011b1698778fc456f57c8561b9db2,d811bad3fca747052478db57240d3ca71fce1c0eb4dac086dd53647bd04e05a1,28.106923421961255,0.39856409502681345,7168,1792,
r1,lead-vox,sha256:27c2485abef9b9791cf127b08108e9982383fdbf7736095f8411647e5b82a7ac,original,19618899,19618899,0,0,1,27c2485abef9b9791cf127b08108e9982383fdbf7736095f8411647e5b82a7ac,d4e9075615156dd19000a1b8d7fbd21f34b2d31f1b67304e4a91653645d905da,,0.21812875696923584,,2816,42
r1,lead-vox,sha256:27c2485abef9b9791cf127b08108e9982383fdbf7736095f8411647e5b82a7ac,published,19754378,19752920,1442,16,5,27c2485abef9b9791cf127b08108e9982383fdbf7736095f8411647e5b82a7ac,8d9595ec06be9422d2a8bd5622790c2e78a03451d92db294ee6c391eba74dbc9,,0.21659804286900908,,2816,300
r1,lead-vox,sha256:27c2485abef9b9791cf127b08108e9982383fdbf7736095f8411647e5b82a7ac,ffmpeg5-30s,19754378,19752920,1442,16,5,27c2485abef9b9791cf127b08108e9982383fdbf7736095f8411647e5b82a7ac,8d9595ec06be9422d2a8bd5622790c2e78a03451d92db294ee6c391eba74dbc9,0.6322794499574229,0.20930441515520215,55552,2816,300
r1,lead-vox,sha256:27c2485abef9b9791cf127b08108e9982383fdbf7736095f8411647e5b82a7ac,ffmpeg8-30s,19618134,19616676,1442,16,5,27c2485abef9b9791cf127b08108e9982383fdbf7736095f8411647e5b82a7ac,e8f24ede0ede9948592b173aaa6e401b0992c7d13c13b2deda1d32db8a335e34,0.9709818938281387,0.2257826899876818,55808,2816,300
r1,lead-vox,sha256:27c2485abef9b9791cf127b08108e9982383fdbf7736095f8411647e5b82a7ac,flac5-30s,19679899,19678441,1442,16,5,27c2485abef9b9791cf127b08108e9982383fdbf7736095f8411647e5b82a7ac,f7ee76e71621945f955806a66a8ab31811bb7bf1d06b70100970e0ed79f96940,0.2313546179793775,0.20436194515787065,3328,2816,430
r1,lead-vox,sha256:27c2485abef9b9791cf127b08108e9982383fdbf7736095f8411647e5b82a7ac,flac8-30s,19474894,19473436,1442,16,5,27c2485abef9b9791cf127b08108e9982383fdbf7736095f8411647e5b82a7ac,dffece519191e4e3028d8b3f9661768b9f97430f9c1feb145903124340e2db6c,0.6116470458218828,0.2201206210302189,3328,2816,430
r1,lead-vox,sha256:27c2485abef9b9791cf127b08108e9982383fdbf7736095f8411647e5b82a7ac,flac8e-30s,19474057,19472599,1442,16,5,27c2485abef9b9791cf127b08108e9982383fdbf7736095f8411647e5b82a7ac,a3a250b67bfad841c9160b7ce179054db8b611e1d034320085790fd74fc05bf7,2.3303081918274984,0.22017309803050011,3328,2816,430
