candidate,totalBytes,payloadBytes,manifestBytes,headerBytes,chunkCount,savingVsPublishedBytes,savingVsPublishedPercent,encodeSeconds,decodeSeconds,encodePeakRssKiB,decodePeakRssKiB,flacMetadataBytes
original,431666252,431666252,0,0,30,2645504,0.6091255793683858,,6.589972478570417,,2816,1260
published,434311756,434233060,78216,480,137,0,0.0,,5.7169112944975495,,2816,8220
ffmpeg5-30s,434311756,434233060,78216,480,137,0,0.0,17.867348172469065,5.482516642077826,55808,2816,8220
ffmpeg8-30s,431589055,431510359,78216,480,137,2722701,0.6269001385262984,26.35546573169995,5.780309422174469,55808,2816,8220
flac5-30s,430897046,430818351,78215,480,137,3414710,0.7862347617410559,5.914841687423177,5.2555277874926105,3328,2816,11782
flac8-30s,425769056,425690361,78215,480,137,8542700,1.966951131757988,15.434291420620866,5.598108894075267,3328,2816,11782
flac8e-30s,425415665,425336970,78215,480,137,8896091,2.0483191801973666,60.8138880180195,5.590979991713539,3328,2816,11782
flac8e-60s,425400585,425336878,63227,480,74,8911171,2.051791340412157,60.65129662677646,5.484893852029927,3328,2816,6364
flac8e-concat,425390054,425336810,52764,480,30,8921702,2.0542160963287426,60.51554994378239,5.321862699347548,3328,2816,2580
flac8e-dense,425945289,425891715,53094,480,30,8366467,1.9263735978631957,62.08027263893746,6.453601373941638,3328,2816,2580
wavpack-concat,442707247,442653672,53095,480,30,-8395491,-1.9330563550299162,8.729934165021405,7.980972701800056,3584,1792,
wavpackx6-concat,427864156,427810582,53094,480,30,6447600,1.4845557162399214,525.4728785967454,7.8550555255496874,4192,1792,
wavpackhh-concat,436901091,436847516,53095,480,30,-2589335,-0.5961927035656789,15.317134957876988,12.614737421856262,4164,1792,
wavpackhhx6-concat,422706494,422652920,53094,480,30,11605262,2.6721040450030986,876.0541425928241,11.460038109798916,7456,1792,
