identity,recordingRef,source,controlBytes,manifestBytes,candidateManifestBytes,envelopeHeaderBytes,envelopeBytes,metadataBytes,frameBytes,recordCount,residualSamples,ordinarySamples,escapedSamples,frameHeaderBits,frameCrcBits,framePaddingBits,subframeHeaderBits,warmupBits,coefficientBits,residualHeaderBits,quotientBits,remainderBits,escapedRawBits,idealModelBits,tableModelBits,contextModelBits,remainderFittedGainBits,idealQuotientBits,tableQuotientBits,contextTableQuotientBits,qTableCount,qTableBytes,contextTableCount,contextTableBytes,coderStateBits,nominalPaddingBits,remainderRawBits,remainderFittedBits,escapeFraction,recordSha256,canonicalPcmSha256,extractSeconds,decodeSeconds,decodePeakRssKiB
sha256:03328fc288eda889bb9bb7813a48bf87d3e011b1698778fc456f57c8561b9db2,r1,drums,16024424,4765,4765,16,4781,344,16019299,1253,10172538,10172538,0,66136,20048,4288,20048,435641,285948,402564,19951565,106967708,0,127747885.05918844,127762750.67054862,127616084.5605896,203127.5995542109,19378298.059188437,19393163.670548625,19138025.5605896,91,3280,455,16839,79616,19904,106967708.0,106764580.40044579,0.0,9429a9a771ff2cbb4dd0403dff0dd80a478754b2ad2c1b29eb6f0f19528d02c8,03328fc288eda889bb9bb7813a48bf87d3e011b1698778fc456f57c8561b9db2,0.6369379478273913,0.4541121169459075,1792
sha256:18a73d7d7a47ec6ccd306235bb921dc8760ecce468b0cb5b4860ef94b898bba6,r4,drums,24867112,1920,1920,16,1936,602,24864574,2075,16966449,16966449,0,109144,33200,7180,33200,775458,512292,339289,33542830,163563999,0,198237627.84809637,198265445.13326728,198188918.8203832,228936.10995268822,32657081.84809638,32684899.133267287,32523740.820383195,71,2560,355,13139,132800,33200,163563999.0,163335062.8900473,0.0,994df485c6a66ecc91660b338034f4175a4e1970b66eeab3b2b001d6e57b886d,18a73d7d7a47ec6ccd306235bb921dc8760ecce468b0cb5b4860ef94b898bba6,1.084346758085303,0.7594489390030503,1792
sha256:1d0544c63bf19bcc8d8b663d73fb9b206f9d107d52f7729ead8fce52aaa9be71,r2,chorus-vox,8069025,2023,2023,16,2039,172,8066814,611,4836364,4836364,0,32200,9776,2176,9776,220254,143163,145062,9281729,54689403,0,64306368.313355505,64311776.44445418,64181579.41330171,96237.7911650464,8967521.313355507,8972929.44445418,8755716.413301704,73,2632,365,13509,37856,9464,54689403.0,54593165.20883495,0.0,db89de35759ffcb92ab4d99c36fdc78e344410fe24ddab4418ce17acc9ed46b6,1d0544c63bf19bcc8d8b663d73fb9b206f9d107d52f7729ead8fce52aaa9be71,0.30343340698163956,0.21642028004862368,1792
sha256:2726b0d1370fdf4924bc2a3509533c4fbb914a9ff45c54e7b010be71a4adfb76,r3,fx,14062853,1928,1928,16,1944,344,14060565,1124,9176256,9176256,0,58904,17984,3970,17984,566823,366822,82026,18002113,93367846,0,112049496.76395783,112063025.31008321,112079790.90601648,142611.27806206048,17434433.763957832,17447962.310083218,17363703.906016484,85,3064,424,15692,71872,17968,93367846.0,93225234.72193794,0.0,82afeee2dd5d8ab365dbf652764266173087a51f10c3b8e3f9d209c50f1b5443,2726b0d1370fdf4924bc2a3509533c4fbb914a9ff45c54e7b010be71a4adfb76,0.6012645949376747,0.43556633102707565,1792
sha256:27c2485abef9b9791cf127b08108e9982383fdbf7736095f8411647e5b82a7ac,r1,lead-vox,19474057,1442,1442,16,1458,430,19472169,1516,12386576,12386576,0,79856,24256,5180,24256,715911,460362,261312,24541606,129664613,0,155496435.02862063,155514119.7050811,155429146.70781016,221392.58879090846,24105265.028620634,24122949.705081098,23959304.70781018,66,2380,330,12214,97024,24256,129664613.0,129443220.41120909,0.0,1640f05c01aca50776a92e83a3d2b4d9d3cd55a645d2de38af0105ae250d142b,27c2485abef9b9791cf127b08108e9982383fdbf7736095f8411647e5b82a7ac,0.806898868875578,0.5762172300601378,1792
sha256:2bf5cb8199b9d347a6a94d10c52b770148efda9073069e4aeeafaa866030a846,r2,fx,11363291,4050,4050,16,4066,430,11358795,1343,10939013,10939013,0,70784,21488,4768,21488,476023,299385,186379,19418041,70371764,0,89389092.9409693,89410523.21453391,89113400.92048435,148999.4227988124,17768965.940969303,17790396.214533906,17390761.92048435,86,3100,430,15914,85632,21408,70371764.0,70222764.57720119,0.0,67b323478a2f3ad659a8563d46a09f7b4e560c0d58d25fd25336f2d1c1f314b3,2bf5cb8199b9d347a6a94d10c52b770148efda9073069e4aeeafaa866030a846,0.6149258540244773,0.4543603489873931,1792
sha256:2dd061241fa7fe3128289427e108ee63501f4ed77c7208f1b37ff49fa6ccff0b,r3,bass,8200751,1170,1170,16,1186,258,8199307,874,7140137,7140137,0,45920,13984,3041,13984,396076,246417,276900,14138167,50459967,0,65454116.25312748,65462920.93955861,65306716.19680769,218801.03392554075,13891555.25312748,13900359.939558614,13641643.196807688,86,3100,430,15914,55936,13984,50459967.0,50241165.96607446,0.0,3b67fe4c61b5eea61e5a85c331360dc521d534c05eb91da7af5963e4bc8ed891,2dd061241fa7fe3128289427e108ee63501f4ed77c7208f1b37ff49fa6ccff0b,0.42774510115850717,0.3157867440022528,1792
sha256:361eb2581ace51a5a34c59d83c06ebe6dad73300115db995e6c0692fb4061ae3,r1,vocal-fx,3745209,6110,6110,16,6126,344,3738739,1228,9629341,9629341,0,64736,19648,4339,19648,359461,216807,105060,16078556,13039157,0,28107956.664562847,28125697.634643704,27928561.030548066,230344.84934825264,14117032.664562847,14134773.634643706,13881613.030548068,47,1696,235,8699,75392,18848,13039157.0,12808812.150651747,0.0,ad4b39650874de5b174ee2709ac2c0ce15538f76504492e48e3ab2f30c1af369,361eb2581ace51a5a34c59d83c06ebe6dad73300115db995e6c0692fb4061ae3,0.47973341308534145,0.38657789491117,2048
sha256:3d60f314574aed4bfafde8b53df7e0e555f367325ba6daad6ec8db9c4dee48c6,r3,drums,12241425,1473,1473,16,1489,344,12239592,1225,10012985,10012985,0,64568,19600,4295,19600,493463,319872,342588,20323854,76328896,0,97198792.18393403,97214385.88183728,97150224.59788524,212386.0113544315,19468446.18393404,19484039.881837282,19317958.59788524,86,3100,428,15840,78400,19600,76328896.0,76116509.98864557,0.0,2f43fb166ad75769414b95b51302773edf58fd6fdff7137dd92f88927f76a70d,3d60f314574aed4bfafde8b53df7e0e555f367325ba6daad6ec8db9c4dee48c6,0.6056264410726726,0.4642395490081981,2048
sha256:43413b8b197ba8a6be8b706e5173fb5246f4c60c414557dc552d9c65239f9340,r2,intro,6429359,1166,1166,16,1182,172,6428005,449,3651754,3651754,0,23144,7184,1607,7184,246042,158625,30841,7220030,43729287,0,51319533.11272207,51326502.57036761,51362385.569700435,47858.819020837545,7054499.112722068,7061468.57036761,7038047.569700436,50,1804,249,9217,28608,7152,43729287.0,43681428.18097916,0.0,d1b76328d82db6c6d5990453e466b0288a1e8d98d2f563a4e55942a211910a90,43413b8b197ba8a6be8b706e5173fb5246f4c60c414557dc552d9c65239f9340,0.24811445910017937,0.17665901291184127,1792
sha256:462c511e3c244e805eeaf8c592c2cf35b8e9e9fab0d3074aad52e7304e6572f6,r4,bv_s,22160762,1920,1920,16,1936,602,22158224,2075,16965449,16965449,0,109144,33200,7301,33200,791389,528303,143373,34074475,141545407,0,176444865.35912383,176470573.7579417,176473467.92270535,212677.86038592458,33049356.35912383,33075064.757941697,33004054.92270534,62,2236,310,11474,132800,33200,141545407.0,141332729.13961408,0.0,00642163cf6e47e7190916756ad9eff45cd37eaa08bb045befa0c23fedb91067,462c511e3c244e805eeaf8c592c2cf35b8e9e9fab0d3074aad52e7304e6572f6,1.0405993348686025,0.7509912479436025,2048
sha256:68f41fc0dfa18e77e77ab99f931dc647d9b1c3d60afd981f9b4917c85986532f,r4,synth,26424410,1920,1920,16,1936,602,26421872,2075,16966099,16966099,0,109144,33200,7197,33200,779340,517062,213947,34031262,175650624,0,211000977.55896428,211018890.6802958,210722120.97122258,244015.4324811101,33452783.558964293,33470696.68029579,33099126.97122257,63,2272,314,11622,132800,33200,175650624.0,175406608.5675189,0.0,8c0fca8b5b5facc18631333fe6e2726e6b3418a35173570a6f68115afe4fdc4b,68f41fc0dfa18e77e77ab99f931dc647d9b1c3d60afd981f9b4917c85986532f,1.046330043929629,0.7374212729046121,1792
sha256:75e819632163ccc65f63fde122cea33b199b559c931ebf68b14b5f8c72520629,r4,fx,11494688,1608,1608,16,1624,344,11492720,1225,10008535,10008535,0,64568,19600,4379,19600,560017,366012,74851,20328780,70503953,0,90956550.07655092,90972570.63409804,90991813.1327948,267914.4384664595,19207042.07655092,19223062.634098038,19148137.13279479,79,2848,395,14619,78400,19600,70503953.0,70236038.56153354,0.0,dfbe56425860b634509efdd8edd7749782eefed5992077eceee421fd9a289f28,75e819632163ccc65f63fde122cea33b199b559c931ebf68b14b5f8c72520629,0.6125633789924905,0.4555804340634495,2048
sha256:76f8d36d4b2b6ed2efc19418250feaac1fe1868fd919c4c03a6e6f66e3e3f926,r4,outro-fx,7063303,732,732,16,748,172,7062383,466,3803643,3803643,0,24080,7456,1660,7456,159265,106725,27972,7632710,48531740,0,56366693.659180745,56374130.403069265,56435077.5774257,50488.05554577708,7437235.659180744,7444672.403069265,7429627.577425701,64,2308,319,11807,29824,7456,48531740.0,48481251.94445422,0.0,18fb590d9f00833002b11f3a8412ab7c49033b2dd8159a4009c1afbd060c335b,76f8d36d4b2b6ed2efc19418250feaac1fe1868fd919c4c03a6e6f66e3e3f926,0.24042059190105647,0.1631372799165547,2048
sha256:820926ccc8557b4cdf81d0c19933f1115dc371d5b53e46ddedb2a87bf4e4e197,r2,synth,7655654,1897,1897,16,1913,172,7653569,617,5006124,5006124,0,32536,9872,2234,9872,316654,202674,250044,9672262,50732212,0,60969810.16935427,60976929.769920245,60889595.50086739,76226.40080872923,9330488.169354266,9337607.769920247,9179049.500867387,60,2164,299,11067,39232,9808,50732212.0,50655985.59919127,0.0,633ad00bb280ec7c2edb490dbb9b1ca6b6d6d307e063844611f3ca796e3e6fc1,820926ccc8557b4cdf81d0c19933f1115dc371d5b53e46ddedb2a87bf4e4e197,0.3291989479912445,0.23522490996401757,1792
sha256:83cc4bfabbda2bb1b0b9fda8bfc7307d190844be9e01cd8ed53b2b904369b147,r3,bv_s,26777376,1682,1682,16,1698,516,26775162,1885,15401815,15401815,0,99512,30160,6666,30160,805522,529695,191996,30083863,182423722,0,213612619.32842135,213641328.0648678,213568366.4944327,245780.33346486092,29304466.328421343,29333175.064867787,29168725.494432688,77,2776,384,14212,120640,30160,182423722.0,182177941.66653514,0.0,fec817278267ac469b6b8759dae95c2ca663f944b227d61b558ce803e05888f1,83cc4bfabbda2bb1b0b9fda8bfc7307d190844be9e01cd8ed53b2b904369b147,0.9832115260651335,0.6894683490972966,2048
sha256:8b374c1219541d61371b2eacf78d1ddd01acf4e9e7422b369044f7c1df5475e1,r4,vocal-fx,21883180,1920,1920,16,1936,602,21880642,2075,16967158,16967158,0,109144,33200,7336,33200,756432,502557,309252,33349771,139944244,0,174263813.29935417,174292639.6837645,174191189.20349815,234215.17489624023,32365408.29935417,32394234.683764484,32224536.203498162,58,2092,287,10623,132800,33200,139944244.0,139710028.82510376,0.0,e8bad8f11a24174d03a2445773c8cafb20411018be001d9a12598d57290a8027,8b374c1219541d61371b2eacf78d1ddd01acf4e9e7422b369044f7c1df5475e1,1.0509052361594513,0.756636597099714,2048
sha256:8faf64b1ebce116931951541fcb35fd000fc9b5f929ae15e47c30ae8666b76a0,r2,drums,11246494,1663,1663,16,1679,344,11244471,1193,9692725,9692725,0,62776,19088,4063,19088,341606,214518,356776,18008951,70928516,0,89051587.07387671,89071568.4952144,88875896.36516148,157775.61600248516,16967546.073876705,16987527.495214406,16683383.365161475,91,3280,455,16839,75840,18960,70928516.0,70770740.38399751,0.0,672471d636c36cd7ea355861028188ec095d097fa888a210ab7a8bfd752ec3a6,8faf64b1ebce116931951541fcb35fd000fc9b5f929ae15e47c30ae8666b76a0,0.542253430117853,0.3922815640689805,2048
sha256:9184f49ee35fa748ecf4d898eb06058d2f499b8348b80736c5c252a99fe36b98,r1,fx,8613366,11736,11736,16,11752,344,8601270,1098,8852693,8852693,0,57456,17568,4013,17568,360434,227319,80819,15650673,52393560,0,67493087.76849519,67510147.5764035,67328292.23739445,150349.86233814806,14126008.768495193,14143068.576403499,13861085.237394452,84,3028,420,15544,69280,17320,52393560.0,52243210.13766185,0.0,acd47d90e567fa4823bd2024ca50272cd635a96d9f189c4091c3a42ed03482a4,9184f49ee35fa748ecf4d898eb06058d2f499b8348b80736c5c252a99fe36b98,0.4962437980575487,0.3740292750298977,2048
