identity,recordingRef,source,controlBytes,activePcmBytes,rsdBytes,rsdSha256,canonicalPcmSha256,riceBytes,riceSha256,riceAuditSha256,ransBytes,ransSha256,ransAuditSha256
sha256:03328fc288eda889bb9bb7813a48bf87d3e011b1698778fc456f57c8561b9db2,r1,drums,16024424,30791214,41245061,9429a9a771ff2cbb4dd0403dff0dd80a478754b2ad2c1b29eb6f0f19528d02c8,03328fc288eda889bb9bb7813a48bf87d3e011b1698778fc456f57c8561b9db2,16044712,0a9b1ae0301df2ee7bb1b5552ea71f8b8f54a7de56531b05b80f1d636cfd9519,5a874efaf1429a17970fe1ebde05a6c8affb88702044f19f07ddee2dd5a7565d,15968184,e84e42ad495cd845cfa92d4ab9bb9eef22316ccd1120b1b958c4eb7be5eef049,5a874efaf1429a17970fe1ebde05a6c8affb88702044f19f07ddee2dd5a7565d
sha256:18a73d7d7a47ec6ccd306235bb921dc8760ecce468b0cb5b4860ef94b898bba6,r4,drums,24867112,50994552,68522532,994df485c6a66ecc91660b338034f4175a4e1970b66eeab3b2b001d6e57b886d,18a73d7d7a47ec6ccd306235bb921dc8760ecce468b0cb5b4860ef94b898bba6,24901106,29ff5a9b9fb245b47e12106d233e9235a06f9fab97a38a55b1c10af07dfa168e,435ec0f868945c45afbace13205d4b1a277450349411753b25410e30e8c6f2f8,24800719,826402c6a1cbf6e5d099b50e07afb096169f3d77d93e582f872c41d15ea732ba,435ec0f868945c45afbace13205d4b1a277450349411753b25410e30e8c6f2f8
sha256:1d0544c63bf19bcc8d8b663d73fb9b206f9d107d52f7729ead8fce52aaa9be71,r2,chorus-vox,8069025,15014760,19578023,db89de35759ffcb92ab4d99c36fdc78e344410fe24ddab4418ce17acc9ed46b6,1d0544c63bf19bcc8d8b663d73fb9b206f9d107d52f7729ead8fce52aaa9be71,8078716,8df80479be506fb509eb6feba4e035b90435d2cbdb8695a5d1d8de4cd738f774,ef150a7ad089ba0ea7693bce738c9fadbad3cbd02448178e205cd67b9b40e423,8030476,d13e5023e27b4f4cd16ee12d9196bebdb6207848ab9ff58ef8300098fe708023,ef150a7ad089ba0ea7693bce738c9fadbad3cbd02448178e205cd67b9b40e423
sha256:2726b0d1370fdf4924bc2a3509533c4fbb914a9ff45c54e7b010be71a4adfb76,r3,fx,14062853,27599244,37029464,82afeee2dd5d8ab365dbf652764266173087a51f10c3b8e3f9d209c50f1b5443,2726b0d1370fdf4924bc2a3509533c4fbb914a9ff45c54e7b010be71a4adfb76,14081138,34923f35cc8ec735bd4a5f05240ff7362791b07bd3ee429a780f69da4a9c7288,1eb812f77bfb0272c75c6140c1a25f2cd969d7dba81292f5fda5f482c5847b11,14024468,a77f5259f60063ea0396e929fbe65b9aa0a1df895a3fa6e9da47f234676ec4dd,1eb812f77bfb0272c75c6140c1a25f2cd969d7dba81292f5fda5f482c5847b11
sha256:27c2485abef9b9791cf127b08108e9982383fdbf7736095f8411647e5b82a7ac,r1,lead-vox,19474057,37247538,50086250,1640f05c01aca50776a92e83a3d2b4d9d3cd55a645d2de38af0105ae250d142b,27c2485abef9b9791cf127b08108e9982383fdbf7736095f8411647e5b82a7ac,19499109,ad75d8a0beb7fee66bd2632148fb38056bc233046a0ceb9a70a5999a3ef364a0,16e082a99b5f3f7e37af2efb454df25c6237f28296616ef50a61c1258fdd1f77,19448693,c1174df35eaf85a5470a6c2660d7bf01abfe320327b9aff85ed50dc5026cc038,16e082a99b5f3f7e37af2efb454df25c6237f28296616ef50a61c1258fdd1f77
sha256:2bf5cb8199b9d347a6a94d10c52b770148efda9073069e4aeeafaa866030a846,r2,fx,11363291,32998800,44156270,67b323478a2f3ad659a8563d46a09f7b4e560c0d58d25fd25336f2d1c1f314b3,2bf5cb8199b9d347a6a94d10c52b770148efda9073069e4aeeafaa866030a846,11385237,899f7c0a98acbfbd1b33f467cb3d5bdcaee8a3c9396039445596831f0c316dc1,9391aabb375c03e44df5bc8331e50f29193b51e75c52b68d956a5915ad3c2042,11156496,11a2e338d19641744a1d85a69ef34b22d2020d5112dcad40d798a932bed53142,9391aabb375c03e44df5bc8331e50f29193b51e75c52b68d956a5915ad3c2042
sha256:2dd061241fa7fe3128289427e108ee63501f4ed77c7208f1b37ff49fa6ccff0b,r3,bass,8200751,21468960,28996554,3b67fe4c61b5eea61e5a85c331360dc521d534c05eb91da7af5963e4bc8ed891,2dd061241fa7fe3128289427e108ee63501f4ed77c7208f1b37ff49fa6ccff0b,8215089,b4d5eacd146591a7c282214a0723917230c7f42aea4435e64a3746a27ab22e16,dbdb241f48dc7a3e7fc1e69a128088c6a13c438421a68b6420662a1db53a3948,8174883,c55d7508476cb2426ba158c78d6053d7beaf94b10bf826ab46e5e410ca3e116d,dbdb241f48dc7a3e7fc1e69a128088c6a13c438421a68b6420662a1db53a3948
sha256:361eb2581ace51a5a34c59d83c06ebe6dad73300115db995e6c0692fb4061ae3,r1,vocal-fx,3745209,30161286,38812382,ad4b39650874de5b174ee2709ac2c0ce15538f76504492e48e3ab2f30c1af369,361eb2581ace51a5a34c59d83c06ebe6dad73300115db995e6c0692fb4061ae3,3764844,b00499758524dd2b126f211a1b76a1a53914d6335d842724e35579b9848c3053,cb1781dadcd55034ac0e40b1636d96943d3777fa55878c01db2454f8a8e478d1,3506582,0f2507839fdf329513a4f4af12d9cfd669e26758f736a4d1a1c4033621fdca5e,cb1781dadcd55034ac0e40b1636d96943d3777fa55878c01db2454f8a8e478d1
sha256:3d60f314574aed4bfafde8b53df7e0e555f367325ba6daad6ec8db9c4dee48c6,r3,drums,12241425,30099654,40583653,2f43fb166ad75769414b95b51302773edf58fd6fdff7137dd92f88927f76a70d,3d60f314574aed4bfafde8b53df7e0e555f367325ba6daad6ec8db9c4dee48c6,12261433,e6d9a4b26568b9609d71812b8a944f06688f41bcd0c324a0845f089e2a231c64,fc8ec6bf8e21379ee9d886769d5a81f873a2ab75f36b7c42f991d0aa1a0c499d,12159715,a0dbf3a7212cad8a8704b4aef1969bb4d9d312b0ba0993daf8a556caa6a4f196,fc8ec6bf8e21379ee9d886769d5a81f873a2ab75f36b7c42f991d0aa1a0c499d
sha256:43413b8b197ba8a6be8b706e5173fb5246f4c60c414557dc552d9c65239f9340,r2,intro,6429359,11025186,14743546,d1b76328d82db6c6d5990453e466b0288a1e8d98d2f563a4e55942a211910a90,43413b8b197ba8a6be8b706e5173fb5246f4c60c414557dc552d9c65239f9340,6436729,2b047fcc06941a889901276b41b1c50cd00a55c9bfbe97557f55c691c875e90a,8c0d59295e6cc201eb76122161fb68d432d82e4f445f4aebdc8dd5eaf54b6945,6426168,d004c3c59ede31ff5a33dc3f391bfdbddd7e475671cbd4ef3f574dcd64344cef,8c0d59295e6cc201eb76122161fb68d432d82e4f445f4aebdc8dd5eaf54b6945
