identity,recordingRef,source,controlBytes,p0riceBytes,p0riceSha256,p0ransBytes,p0ransSha256,p2riceBytes,p2riceSha256,p2ransBytes,p2ransSha256
sha256:03328fc288eda889bb9bb7813a48bf87d3e011b1698778fc456f57c8561b9db2,r1,drums,16024424,16045642,360ba1e76ff803a53c43fc60e0457bf7239ea6a975a3a8d21836ad4077a778cc,15970142,17de1c4919aa5644ee490b37364cc67f82e44e5aa3a683d1159cf2a2559b50b7,15993175,ccf524febce18e17e7135b2990ce45950c7e9f7c732bcbfb53110fcc074086ba,15916373,6006778625bd3b2315ed8a7d365f3fb36b1440ae7a5e9c376229ca16973aae6a
sha256:18a73d7d7a47ec6ccd306235bb921dc8760ecce468b0cb5b4860ef94b898bba6,r4,drums,24867112,24901645,b725a9f28cfa5c47ff5eb483d437144c0dd84e2987c2884b8ac4c302e52169c2,24802207,7e601288c56da72407644121f984f50bc3f1c4a30112f7d1df0e5d78086cfc7c,24896706,270624dc518ee84d983e972d9cf5625c301e9cf3848c720f518b6be05a7c410a,24797483,bbd33f46abbb52443db9f9f2957aa3d757e158d8404b3c567f537428a7c6344a
sha256:1d0544c63bf19bcc8d8b663d73fb9b206f9d107d52f7729ead8fce52aaa9be71,r2,chorus-vox,8069025,8079374,d6390aaf5d5d7174e61643b994185397036d0a7d062a0547c758b9e496036d7c,8031552,b41c233e1ce4a568b70eaf4469b30df11fff1d791397d553e967a729fabc7d11,8077337,cd66d91d6de1bc34af29a02dbe92f71236870643c32a42c98c8575e0e5a6c73c,8029528,f716f1e12d2fc5d9ae0acb1c4a7bd049778bdd107179b9d40a1ff3b40e95dbe6
sha256:2726b0d1370fdf4924bc2a3509533c4fbb914a9ff45c54e7b010be71a4adfb76,r3,fx,14062853,14081643,b2e96839a1703ad9d1af9347869fa0dee18e990e8266288ea72a65601f26ec5c,14025226,c279c0e451e735e81bb22999e3120598d55080e8d5a56e574b0102ca4b0246d9,14079640,c1eed1dd1fb19728117cb3542009f497740f4831ff125da41c9e193a83b9f859,14023255,320bb14e5532dede21f31bb049fd26f153678ba62f8b475d5f6b65be3fd3c531
sha256:27c2485abef9b9791cf127b08108e9982383fdbf7736095f8411647e5b82a7ac,r1,lead-vox,19474057,19499500,8d823d16c8f8d504e5bff6d3a0dd6c45a2d0ec831813746b6a0c6f6fbbe77150,19449459,2980b578c5cac64e63722e220298574f7bd7876c7a64c427c8d894c901b03fb8,19499498,1f4c9796b87e00a66fb8fc1ebeb4ba4e1a21d3b3b9bdee801b48af3ab3bab0fb,19449458,25023528eac949779fb497f87ee70e7da0d279accc5c091e376f8d8a5a48c4d8
sha256:2bf5cb8199b9d347a6a94d10c52b770148efda9073069e4aeeafaa866030a846,r2,fx,11363291,11386981,affc4def39ac1af9e18ceb491b245b38d154c0a4ed9dc7d4087e8aef7e9cfdad,11159266,52449486defac861edb6f1190a58023bdcd02264868d0707ffbc1853a70877e4,11351887,476f081534bba0e47f7f856f80da430d430ea854de343f7c5259f519d6b42a01,11123498,297fe5100e4cad8cd1bd10cc68e59c0d10eb809ce1f0a1b8c4aa4c6dd5bba26e
sha256:2dd061241fa7fe3128289427e108ee63501f4ed77c7208f1b37ff49fa6ccff0b,r3,bass,8200751,8219670,ec6f6dc5e00700bd2800d64dcadb695f1f27d354a86fb21cb62088280443d6ea,8180199,baafd1dadbc8de6e85750819115b3010e288240f4540bf944cd5ae644d089a54,8215042,eba1ac0305cefb81c526a0498a612ec64cd6f9f36430091b81aef87e642b9fe1,8175255,58d18cd397cd020099dbfd469602fd7f3bca340e3dd1922d4320950ce8263222
sha256:361eb2581ace51a5a34c59d83c06ebe6dad73300115db995e6c0692fb4061ae3,r1,vocal-fx,3745209,3767232,a57b17763079347a1978d89d4ace6df2a839e7e1c364562b8168db6e555439c9,3509749,48ab30f3bc5c59b4d51c8f9e6ef8f7190859a4699add0cab057f7bbe24192687,3765039,4377412106750fd472a4025aab85c512e2daf267777ea3296dc531631c1d52ba,3507887,187555d4372c088cd23ea61647d6ded13ea984fe2f939a7eb2693e23501931ec
sha256:3d60f314574aed4bfafde8b53df7e0e555f367325ba6daad6ec8db9c4dee48c6,r3,drums,12241425,12264213,3c7a12846e857cd8a97dcf6ac993c4bde0469968719fb3a14ae6a95822605daf,12163417,d42faa0a4a3576e73d88f168540d6f5114928634a321f6e496ebb6bc1997b6ad,12254238,df2cd32c3dd2e4881446b5ec93686a706e3cbc856a5b6f66a10f0a4e6d1eddb2,12153310,ede2bceb9426625dc9ec55acbc2065fb863840d799d7e0a8127464b7ccaefbd8
sha256:43413b8b197ba8a6be8b706e5173fb5246f4c60c414557dc552d9c65239f9340,r2,intro,6429359,6437201,4b5cee1bd9f0ffbe4688fd7e9a4d12326cb78a671a0ac3ad55b8d5cb664110da,6426719,021bb804fe7ba2c1f01edcaf06df5f1aba85385ea4c518bd752e158ad421d486,6436051,21ef021f33347ad01690bc309ec7380fd43d4454c6ff3f2e749df9a78b835c08,6425355,0954dcd596704f9b37f6ef4b3b238387708ae5eb94a45cbd309a9081d4ae368b
