identity,recordingRef,source,controlBytes,p0riceBytes,p0riceSha256,p0ransBytes,p0ransSha256,p1riceBytes,p1riceSha256,p1ransBytes,p1ransSha256,p2riceBytes,p2riceSha256,p2ransBytes,p2ransSha256
sha256:03328fc288eda889bb9bb7813a48bf87d3e011b1698778fc456f57c8561b9db2,r1,drums,16024424,15993175,a8c62676fd0baa9654a887fb898c078b53872de68b0ea0cc36a24364138a2d6c,15916373,7e71129140851af44ad6ff123b62295ea6644692add2c8a84db010ace51ae53e,15880838,4bb150599fb080cd738ed81a6cd4e14dae757f37db2e3142d730149d4cf66667,15815764,342ab923c0b66e446a9ab1f0bed36879ea515b96320688a4c56ba044b6ac61c8,15884768,d5e551a59a98afdf5fbcaa183db9ba9fb5db3f568ccd5d210bd5cc8c6aaf2534,15819592,d40cd818861c7d4fb6b6b737173576b81b4b6ae10e473874c171e8ee5f944128
sha256:18a73d7d7a47ec6ccd306235bb921dc8760ecce468b0cb5b4860ef94b898bba6,r4,drums,24867112,24896706,8eb571191801f1ac07dc466515f4923832717fb4bff9d4afd3e2d8278ba3fd0b,24797483,bd92e886512d0d7bdb9ce725be128e9387707556d9b09fc53c9664f4ecf0a736,24789612,2b1399742ca80e5ec4d9557eac0190d34da9c132137a23f8c2cba9339f1ac722,24693421,945f68020efb8cdb8a451cc340e8df5fa9fea81b22a3d2dd65ce42c9c8b76761,24801968,258e6f292a53f30e9f7e4a5ab4bde19038129754ce8aa3c146e3d89b5f965618,24705498,0a45773ec291aa8a5d176aa1cde2b8ca974e428b48b52a1708026ac145963bc8
sha256:1d0544c63bf19bcc8d8b663d73fb9b206f9d107d52f7729ead8fce52aaa9be71,r2,chorus-vox,8069025,8077337,39ed304c27757a0fadac77169f39b44ffe67ac29de49c576e6ef3ad1269cef2e,8029528,d026d48b2ff65f7cf6c3c46b29775de204430bb0b5e659d0ff254a1dc79b4607,8038147,54b21d7fa69de644c4eb7ad5c15b2cd6f708729405763f8e2d32cb61ba83629e,7995560,f2083b4babbd44c66c867ab4cfdca2320794769c6e9cad442fa8cebb0e690b1c,8040386,7bed9761a974449f79a899837a813ec062cb20c7675e37de6894d4297edf27b2,7997387,6eacfda560fca39ffb0d06e933c87a90358c1cd9ef714a6f2538d3a37f0677bc
sha256:2726b0d1370fdf4924bc2a3509533c4fbb914a9ff45c54e7b010be71a4adfb76,r3,fx,14062853,14079640,be6e2941f77ff4e9c3e6f733945f83461f7ac552dbe71c08c71b5a1388f25fd8,14023255,97816d49ad710de7ec07a3668241d1e79d6bcbf324b2e45994e14390f456eb97,14003294,cff2dd83f7c26478ca6fb5dd13e75285a82424b6f66e69f34eae9475d412c6bf,13950977,9736bca3c568e1f6bcafb7007c933d13859447bc82045d713fb18b96a680c01a,14006977,16577485176d340bca015e5fe2e0536b3dad6af8b72f6674e74c7092b395956a,13954475,1eaff54d2b677c1f1e9bac4d65565c3e9518e3d62630886c13515ff10e44834e
sha256:27c2485abef9b9791cf127b08108e9982383fdbf7736095f8411647e5b82a7ac,r1,lead-vox,19474057,19499498,9169d4ca020eeb9113d421614d444436120c0a690f757162f3f0abe39f9371ea,19449458,13d16c67ae1d7f24cd4d57734dd5a7c0445b8443abe94e12b67d41786547d0f5,19364225,b8ecc7397b78fc6c7631ff15f4d4cbd5510a58c62d8f032cff81397b9439a459,19315365,99c480cac0343ac2c72922f47e2168fb12984e6da61764835fb650669c3d3dca,19365766,86a20175167425dfef535e2ee184bdcf3b83004f593fbb8eea195d37ec37d05e,19316966,470152b76c5fcc6fac704c30577c6228b5ddd6c401145b89ff7fb957043684ba
sha256:2bf5cb8199b9d347a6a94d10c52b770148efda9073069e4aeeafaa866030a846,r2,fx,11363291,11351887,492295ebda450ab8a656c75652856c25aca7204c80cc470086b6b571d389f678,11123498,f13ac3c5f7583cd51b4d56f3ecae3fe76831bd97be2b5fce4e3556a768ebcb4f,11258255,aa43a0058bedc144c9036372b92a968c98b3949a7780214fb60317ef02035bd4,11041338,778cdad093332c13d72e13d5856baab28d8b5357adcf1614af3a2f719542074d,11260905,3d9bde520d19026185bc07236363730c14707d5af2f4bf90b272e2cea4483094,11043972,fbbb906fbc8dc8741ee77cc337ac376b038060bf733b14ac4c457452eb77b63f
sha256:2dd061241fa7fe3128289427e108ee63501f4ed77c7208f1b37ff49fa6ccff0b,r3,bass,8200751,8215042,4fd916efa0b0ec85e02065ff38b33b1e2e4320aab68b5e32bffccd1b0fae3865,8175255,7c67c37ddd54e600b443de33973e2318d8d333ff3eb69e8cc9988035ecab04d3,8123280,57a3535911870554ff06a7b7217dc67823885da4a28df55f572f1fbeae175274,8092080,ff40ca2f556cc74290e3bc2970cdec8a7cf96299d8cc3c40ce55e65bbf7ae8bd,8124677,baada9b35fd706e515e2da1f86ff5ed3fc675885e802b13bae412f2e2db52d3d,8093330,04cfd8e4ac0ccf60ba873385452eb6f5f2bc327cc0ea3d1c4429d0226fa8cb19
sha256:361eb2581ace51a5a34c59d83c06ebe6dad73300115db995e6c0692fb4061ae3,r1,vocal-fx,3745209,3765039,4bf8790a4945e595fa8fd7220d23935ac79a56d2f3fdd01ffe7a17493db75eb5,3507887,88f8e0cca6076db2cd1cccbab5f7ad7a4c695688500d0dff86f214565e1c56f3,3706667,88aaa58273ecf4dd3e220b4024629a394e41b808461b744fa9f9264d82b93bfa,3475699,f187a662c380c46eb405371e57a5c5d386fe72f721bb88ee71b03da641ee16c3,3708447,784e0c926cacd1d05ae05b2970294b663b0c2e8d2faaee87168e0381128331c9,3477492,db516c0e9d1c1a1d2f4020ac4d8421a393356b8853290bbf3bf5b5dbe15495f0
sha256:3d60f314574aed4bfafde8b53df7e0e555f367325ba6daad6ec8db9c4dee48c6,r3,drums,12241425,12254238,97b12d111d48fecc288df35b3b87cc3a65c4d7bb31f34b4ff2e89d69114d7d6c,12153310,806abeaf394ab6c53d7aae065659040e2f8ef4fdab0c87cd75d144f5ea4bc69e,12099473,23c335b60ae5a7dc66f4d766c2f9234c44ac3c33912233a67705116b094fe646,12048560,7edd9cac7147d0d0c191469bdfdde879eaf981a5de9409bedd07eddf9bea14cf,12101278,052a7ca11f5e3821d9b5f8be0151a22d9754bddc47175ed50809210b87247f28,12049819,daa63e32509a1772353b61816cfbe2eb5d690d7f1fa8b7e53e204b238c51fee2
sha256:43413b8b197ba8a6be8b706e5173fb5246f4c60c414557dc552d9c65239f9340,r2,intro,6429359,6436051,41fec21ca376683cd35b9d7b4689e5cd6e38306c405bfababe3536db259c6cdf,6425355,613fd3fd2b2a0389f572eea305c7a8966f7c579513757547274926c4f63632f7,6398304,ffb49c01735bcb01f26f41ac4e06af76688cfe12a4cd801be14a6a712f0114ed,6388514,78088a3646a9a7f99e3c9aea4b8da2a31f05b7633beb9d72e9832d27052370d3,6399720,a0be28c063ac6910bc4847fb03ce1461a5e92ada7bc9f7949080235d8533144e,6389949,c6d0992ed710250dc12ad1b81c86867de04253bd4889734ca694b9ca3c3ad193
